panel,algorithm,ordering,first_node,exact_pag_match,skeleton_jaccard,edges,ci_tests,elapsed_seconds,target_edge,temporal_flags
focused_treatment,fci_plus,cyclic_shift_3,Free_Lunch,False,1.0,10,188,0.16259108300073422,K_Class <-> Grade3_Achievement,
focused_treatment,fci_plus,cyclic_shift_4,School_Context,False,1.0,10,183,0.159027791999506,K_Class <-> Grade3_Achievement,
focused_treatment,fci_plus,cyclic_shift_5,Entry_Age,True,1.0,10,188,0.16397225000036997,K_Class <-> Grade3_Achievement,
focused_treatment,fci_plus,cyclic_shift_6,Teacher_Experience,True,1.0,10,192,0.1693831249995128,K_Class <-> Grade3_Achievement,
focused_treatment,fci_plus,cyclic_shift_7,Grade3_Achievement,True,1.0,10,188,0.16492595900035667,K_Class <-> Grade3_Achievement,
focused_treatment,fci_plus_robust,cyclic_shift_0,K_Class,True,1.0,10,334,0.25285945899941,K_Class o-o Grade3_Achievement,
focused_treatment,fci_plus_robust,cyclic_shift_1,Gender,True,1.0,10,334,0.25194591600029526,K_Class o-o Grade3_Achievement,
focused_treatment,fci_plus_robust,cyclic_shift_2,Ethnicity,True,1.0,10,334,0.25749604199972964,K_Class o-o Grade3_Achievement,
focused_treatment,fci_plus_robust,cyclic_shift_3,Free_Lunch,True,1.0,10,334,0.25135962500007736,K_Class o-o Grade3_Achievement,
focused_treatment,fci_plus_robust,cyclic_shift_4,School_Context,True,1.0,10,334,0.2508417090002695,K_Class o-o Grade3_Achievement,
focused_treatment,fci_plus_robust,cyclic_shift_5,Entry_Age,True,1.0,10,334,0.25002383399987593,K_Class o-o Grade3_Achievement,
focused_treatment,fci_plus_robust,cyclic_shift_6,Teacher_Experience,True,1.0,10,334,0.24982954099959898,K_Class o-o Grade3_Achievement,
focused_treatment,fci_plus_robust,cyclic_shift_7,Grade3_Achievement,True,1.0,10,334,0.2491790829999445,K_Class o-o Grade3_Achievement,
